Data;Banco_Operacao;Tipo_De_Produto;Convenio_categoria;ValorBase
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;GOVERNOS;6038161,34
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FEDERAL;5787329,25
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PREFEITURAS;3976609,15
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PM;1768516,04
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;1250538,05
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;INSS;1020879,04
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;637024,00
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;OUTROS;275136,51
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;BOMBEIROS;136773,48
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;UNIVERSIDADE;132774,93
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;TJ;129668,81
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;SANEAMENTO;79786,44
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;TRT;41493,88
01/12/2020;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FUNDACAO;3000,00
01/01/2021;BANCO C6 BANK;EMPRESTIMO CONSIGNADO;INSS;46284046,05
01/01/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;INSS;41797489,36
01/01/2021;BANCO PAN;NAO INFORMADO;OUTROS;27094964,88
01/01/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;INSS;25193010,88
01/01/2021;BANCO OLÉ CONSIGNADO;NAO INFORMADO;OUTROS;24817639,83
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;INSS;19398789,47
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;FEDERAL;16866588,39
01/01/2021;BANCO ITAÚ CONSIGNADO;NAO INFORMADO;OUTROS;6157993,00
01/01/2021;BANCO C6 BANK;EMPRESTIMO CONSIGNADO;FEDERAL;736452,92
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;GOVERNOS;4367826,35
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PREFEITURAS;4316867,69
01/01/2021;BANCO BMG;NAO INFORMADO;OUTROS;3952488,00
01/01/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;FEDERAL;3892335,92
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;INSS;3694492,90
01/01/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;INSS;3617607,70
01/01/2021;BANCO CETELEM;EMPRESTIMO CONSIGNADO;FEDERAL;3601236,08
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;GOVERNOS;3440685,69
01/01/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;GOVERNOS;3359704,34
01/01/2021;BANCO PAN;CARTAO CONSIGNADO;INSS;2428417,59
01/01/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;FEDERAL;2405296,41
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FEDERAL;2332581,89
01/01/2021;BANCO BANRISUL;EMPRESTIMO CONSIGNADO;INSS;2327737,53
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;GOVERNOS;2135422,27
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PM;1978201,64
01/01/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;GOVERNOS;1932513,10
01/01/2021;BANCO SAFRA;NAO INFORMADO;OUTROS;1687627,61
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;INSS;1434179,87
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREFEITURAS;1361025,44
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;GOVERNOS;1269183,66
01/01/2021;BANCO CETELEM;EMPRESTIMO CONSIGNADO;INSS;1179211,56
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;1049778,41
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;988924,12
01/01/2021;BANCO PARANÁ;EMPRESTIMO CONSIGNADO;FEDERAL;902624,43
01/01/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;FEDERAL;814754,46
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;798408,79
01/01/2021;BANCO C6 BANK;NAO INFORMADO;OUTROS;6122120,01
01/01/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;INSS;712254,17
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;INSS;697169,06
01/01/2021;BANCO BANRISUL;EMPRESTIMO CONSIGNADO;FEDERAL;686510,97
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;PREFEITURAS;674296,84
01/01/2021;BANCO MERCANTIL DO BRASIL;EMPRESTIMO CONSIGNADO;INSS;655936,52
01/01/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;INSS;620811,84
01/01/2021;BANCO BRADESCO;NAO INFORMADO;OUTROS;581642,36
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;FEDERAL;577346,58
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;567490,30
01/01/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;GOVERNOS;503200,66
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;FEDERAL;472536,10
01/01/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;PREFEITURAS;457629,33
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;INSS;390093,04
01/01/2021;BANCO DAYCOVAL;NAO INFORMADO;OUTROS;364092,54
01/01/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREFEITURAS;352061,73
01/01/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;285463,89
01/01/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;GOVERNOS;280815,02
01/01/2021;BANCO PAN;CARTAO CONSIGNADO;FEDERAL;266746,95
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;UNIVERSIDADE;262750,63
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;PREFEITURAS;250927,98
01/01/2021;BANCO CETELEM;NAO INFORMADO;OUTROS;184447,97
01/01/2021;BANCO PARANÁ;EMPRESTIMO CONSIGNADO;INSS;176563,34
01/01/2021;BANCO MERCANTIL DO BRASIL;CARTAO CONSIGNADO;INSS;176168,80
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;TJ;171260,16
01/01/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;FEDERAL;165930,00
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;159371,15
01/01/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;GOVERNOS;159290,34
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;OUTROS;151552,28
01/01/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;INSS;91355,92
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;PM;88689,68
01/01/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;PREFEITURAS;88620,28
01/01/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;79209,45
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;GOVERNOS;69291,37
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FUNDACAO;62332,77
01/01/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;GOVERNOS;57351,00
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;TRT;53133,04
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;FEDERAL;49201,83
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;TJ;45007,68
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;BOMBEIROS;41866,68
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;SANEAMENTO;38198,51
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;UNIVERSIDADE;37976,41
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;37344,38
01/01/2021;BANCO CETELEM;CARTAO CONSIGNADO;INSS;31595,30
01/01/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;OUTROS;28480,00
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;HOSPITAL;26979,74
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;OUTROS;26890,26
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;PM;25868,95
01/01/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;24029,25
01/01/2021;BANCO PAN;CARTAO CONSIGNADO;GOVERNOS;22255,00
01/01/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;PM;21264,97
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;TJ;20000,00
01/01/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;PREFEITURAS;18745,00
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;BOMBEIROS;15705,00
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PRIVADO;15679,53
01/01/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;TJ;15093,21
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;PM;11656,57
01/01/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;10136,26
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;PREFEITURAS;10077,89
01/01/2021;BANCO PAN;CARTAO CONSIGNADO;PREFEITURAS;10062,00
01/01/2021;BANCO PAN;CARTAO CONSIGNADO;PREVIDENCIAS;9388,94
01/01/2021;BANCO BANRISUL;CARTAO CONSIGNADO;FEDERAL;8909,00
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;ASSEMBLEIA LEGISLATIVA;8006,31
01/01/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;PM;8000,00
01/01/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;UNIVERSIDADE;7520,00
01/01/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;7334,61
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;PREVIDENCIAS;6841,45
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;SEFAZ;5273,80
01/01/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;IRMANDADE;5188,71
01/01/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;TJ;4360,00
01/01/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;2665,89
01/01/2021;BANCO BMG;CARTAO CONSIGNADO;SASSEPE;725,28
01/01/2021;-;-;NAO CATEGORIZADO;-1157,50
01/01/2021;BANCO BMG / ITAÚ;EMPRESTIMO CONSIGNADO;INSS;-1693,70
01/01/2021;BANCO PARANÁ;EMPRESTIMO CONSIGNADO;GOVERNOS;-1900,58
01/01/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;NAO CATEGORIZADO;-34953,34
01/01/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;FEDERAL;-188046,00
01/01/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;OUTROS;-711003,28
01/02/2021;BANCO C6 BANK;EMPRESTIMO CONSIGNADO;INSS;45509488,05
01/02/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;INSS;40781448,02
01/02/2021;BANCO OLÉ CONSIGNADO;NAO INFORMADO;OUTROS;34257284,29
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;INSS;24718349,34
01/02/2021;BANCO PAN;NAO INFORMADO;OUTROS;23807037,42
01/02/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;INSS;20639198,36
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;FEDERAL;18311812,40
01/02/2021;BANCO C6 BANK;EMPRESTIMO CONSIGNADO;FEDERAL;1514736,22
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;INSS;11307275,84
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;GOVERNOS;9664385,25
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PREFEITURAS;9120203,70
01/02/2021;BANCO ITAÚ CONSIGNADO;NAO INFORMADO;OUTROS;7512418,00
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;INSS;7255160,82
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FEDERAL;6187113,82
01/02/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;FEDERAL;4861041,82
01/02/2021;BANCO CETELEM;EMPRESTIMO CONSIGNADO;FEDERAL;4504683,36
01/02/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;FEDERAL;4366439,30
01/02/2021;BANCO PAN;CARTAO CONSIGNADO;INSS;3749740,47
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;GOVERNOS;3665135,83
01/02/2021;BANCO BMG;NAO INFORMADO;OUTROS;3538883,00
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;INSS;3331638,74
01/02/2021;BANCO BANRISUL;EMPRESTIMO CONSIGNADO;INSS;3195149,87
01/02/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;INSS;3172807,39
01/02/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;GOVERNOS;3162716,84
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;GOVERNOS;2526394,84
01/02/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;GOVERNOS;2286735,24
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PM;2060768,30
01/02/2021;BANCO SAFRA;NAO INFORMADO;OUTROS;1921374,32
01/02/2021;BANCO PARANÁ;EMPRESTIMO CONSIGNADO;FEDERAL;1799249,73
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;GOVERNOS;1750265,15
01/02/2021;BANCO C6 BANK;NAO INFORMADO;OUTROS;15548260,68
01/02/2021;BANCO CETELEM;EMPRESTIMO CONSIGNADO;INSS;1288422,67
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;1224390,25
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;1198484,68
01/02/2021;BANCO BANRISUL;EMPRESTIMO CONSIGNADO;FEDERAL;1161279,01
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;PREFEITURAS;1160117,17
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREFEITURAS;1097165,15
01/02/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;INSS;1081299,03
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;INSS;1039793,56
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;946607,26
01/02/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;INSS;860316,60
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;800898,24
01/02/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;FEDERAL;645878,17
01/02/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREFEITURAS;547040,42
01/02/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;PREFEITURAS;527550,22
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;FEDERAL;516749,70
01/02/2021;BANCO DAYCOVAL;NAO INFORMADO;OUTROS;505116,38
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;FEDERAL;498016,44
01/02/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;GOVERNOS;478214,23
01/02/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;GOVERNOS;450215,84
01/02/2021;BANCO MERCANTIL DO BRASIL;EMPRESTIMO CONSIGNADO;INSS;446376,46
01/02/2021;BANCO PAN;CARTAO CONSIGNADO;FEDERAL;423366,70
01/02/2021;BANCO BRADESCO;NAO INFORMADO;OUTROS;351846,95
01/02/2021;BANCO MERCANTIL DO BRASIL;CARTAO CONSIGNADO;INSS;337460,60
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;TJ;287635,42
01/02/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;FEDERAL;284933,61
01/02/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;PREFEITURAS;268309,48
01/02/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;GOVERNOS;264317,17
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;PREFEITURAS;252857,64
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FUNDACAO;239433,70
01/02/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;INSS;232775,00
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;209333,40
01/02/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;188275,17
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;SANEAMENTO;186190,00
01/02/2021;BANCO PARANÁ;EMPRESTIMO CONSIGNADO;GOVERNOS;182367,86
01/02/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;156991,43
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;OUTROS;153790,60
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;FEDERAL;123009,46
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;ASSEMBLEIA LEGISLATIVA;113004,60
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;TJ;111278,16
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;TJ;109284,35
01/02/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;FEDERAL;104170,00
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;GOVERNOS;97036,12
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;TRT;96069,23
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;BOMBEIROS;91264,76
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;88811,51
01/02/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;68347,97
01/02/2021;BANCO CETELEM;CARTAO CONSIGNADO;INSS;68078,71
01/02/2021;BANCO PARANÁ;EMPRESTIMO CONSIGNADO;INSS;65614,74
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;PM;62752,70
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PRIVADO;62040,31
01/02/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;PREFEITURAS;51955,00
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;PREFEITURAS;45277,48
01/02/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;PM;36102,37
01/02/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;GOVERNOS;33646,00
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;UNIVERSIDADE;31256,83
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FUNDO DE APOSENTADORIA E PENSAO DO SERVIDOR;30022,23
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;PREVIDENCIAS;28787,02
01/02/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;20785,65
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;18489,07
01/02/2021;BANCO PAN;CARTAO CONSIGNADO;GOVERNOS;17220,61
01/02/2021;BANCO PAN;CARTAO CONSIGNADO;PREFEITURAS;17073,14
01/02/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;BOMBEIROS;17002,39
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;PM;16733,44
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;BOMBEIROS;12799,61
01/02/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;PM;11000,00
01/02/2021;BANCO PAN;CARTAO CONSIGNADO;PREVIDENCIAS;10582,87
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;PM;9398,15
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;ASSOCIACAO;8882,17
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;UNIVERSIDADE;8413,82
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;INSTITUTO;8000,00
01/02/2021;BANCO DO BRASIL;EMPRESTIMO CONSIGNADO;NAO INFORMADO;7500,00
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;PRIVADO;7338,94
01/02/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;OUTROS;6780,00
01/02/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;TJ;6384,00
01/02/2021;BANCO DAYCOVAL;CARTAO CONSIGNADO;UNIVERSIDADE;4840,00
01/02/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;HOSPITAL;4222,84
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;SEFAZ;3782,10
01/02/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;PREVIDENCIAS;3000,00
01/02/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;2115,16
01/02/2021;BANCO BMG;CARTAO CONSIGNADO;SASSEPE;1471,66
01/02/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;PREVIDENCIAS;1367,52
01/02/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;OUTROS;1138,63
01/02/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;TJ;569,18
01/02/2021;BANCO BMG;ABERTURA DE CONTA;INSS;0,00
01/02/2021;BANCO CETELEM;NAO INFORMADO;OUTROS;0,00
01/02/2021;BANCO BMG / ITAÚ;EMPRESTIMO CONSIGNADO;INSS;-1216,36
01/02/2021;CCB BRASIL FINANCEIRA (SUL FINANCEIRA);EMPRESTIMO CONSIGNADO;INSS;-1332,79
01/02/2021;-;-;NAO CATEGORIZADO;-9524,58
01/02/2021;DAYCOVAL - CRÉDITO PESSOAL;EMPRESTIMO CONSIGNADO;FEDERAL;-15823,28
01/02/2021;BANCO OLÉ CONSIGNADO;CARTAO CONSIGNADO;OUTROS;-98301,48
01/03/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;INSS;54409449,94
01/03/2021;BANCO C6 BANK;EMPRESTIMO CONSIGNADO;INSS;45280752,35
01/03/2021;BANCO OLÉ CONSIGNADO;NAO INFORMADO;OUTROS;40731380,31
01/03/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;INSS;37167554,77
01/03/2021;BANCO C6 BANK;EMPRESTIMO CONSIGNADO;FEDERAL;1761212,61
01/03/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;FEDERAL;25615045,27
01/03/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;INSS;22299028,47
01/03/2021;BANCO PAN;NAO INFORMADO;OUTROS;20169368,02
01/03/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;INSS;16194319,00
01/03/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;INSS;14228732,62
01/03/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;GOVERNOS;13205806,37
01/03/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PREFEITURAS;10392141,77
01/03/2021;BANCO ITAÚ CONSIGNADO;NAO INFORMADO;OUTROS;10141101,00
01/03/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;FEDERAL;10112371,25
01/03/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FEDERAL;6932522,50
01/03/2021;BANCO CETELEM;EMPRESTIMO CONSIGNADO;FEDERAL;5090375,47
01/03/2021;BANCO BANRISUL;EMPRESTIMO CONSIGNADO;INSS;4587333,73
01/03/2021;BANCO PAN;CARTAO CONSIGNADO;INSS;4580479,86
01/03/2021;BANCO BMG;EMPRESTIMO CONSIGNADO;INSS;4503431,90
01/03/2021;BANCO PARANÁ;EMPRESTIMO CONSIGNADO;FEDERAL;3965152,30
01/03/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;GOVERNOS;3950706,84
01/03/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;PM;3926444,07
01/03/2021;BANCO BMG;CARTAO CONSIGNADO;INSS;3896905,19
01/03/2021;BANCO PAN;EMPRESTIMO CONSIGNADO;GOVERNOS;3724703,39
01/03/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;INSS;3523079,65
01/03/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;GOVERNOS;3357839,84
01/03/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;GOVERNOS;3326104,17
01/03/2021;BANCO ITAÚ CONSIGNADO;EMPRESTIMO CONSIGNADO;FEDERAL;3244788,98
01/03/2021;BANCO BMG;NAO INFORMADO;OUTROS;3026515,00
01/03/2021;BANCO BRADESCO;EMPRESTIMO CONSIGNADO;GOVERNOS;2448075,13
01/03/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;2402018,89
01/03/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;2036397,91
01/03/2021;BANCO SAFRA;NAO INFORMADO;OUTROS;2016976,40
01/03/2021;BANCO C6 BANK;NAO INFORMADO;OUTROS;26173168,99
01/03/2021;BANCO SANTANDER;EMPRESTIMO CONSIGNADO;FORCAS ARMADAS;1743545,95
01/03/2021;BANCO DAYCOVAL;EMPRESTIMO CONSIGNADO;PREFEITURAS;1630927,30
01/03/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;GOVERNOS;1458212,52
01/03/2021;BANCO CETELEM;EMPRESTIMO CONSIGNADO;INSS;1342361,33
01/03/2021;BANCO OLÉ CONSIGNADO;EMPRESTIMO CONSIGNADO;PREFEITURAS;1321092,97
01/03/2021;BANCO SAFRA;EMPRESTIMO CONSIGNADO;INSS;1289778,99
01/03/2021;BANCO BANRISUL;EMPRESTIMO CONSIGNADO;FEDERAL;1250856,39
